Measure Mode: wall_time
Thread ID: 70212817918080
Fiber ID: 70212812661460
Total: 0.091663
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.15      0.000     0.000     0.000     0.000      328   String#starts_with? 
  0.14      0.000     0.000     0.000     0.000      235   SQLite3::Statement#done? 
  0.14      0.021     0.000     0.000     0.021       11  *ActiveSupport::Dependencies#load_missing_constant 
  0.14      0.000     0.000     0.000     0.000       78   Kernel#respond_to? 
  0.14      0.000     0.000     0.000     0.000       25   <Module::ActiveSupport::DescendantsTracker>#accumulate_descendants 
  0.14      0.000     0.000     0.000     0.000       65   <Class::ActiveSupport::Inflector::Inflections>#instance 
  0.13      0.000     0.000     0.000     0.000       26   <Class::ActiveRecord::Base>#logger 
  0.13      0.000     0.000     0.000     0.000       54   String#% 
  0.13      0.000     0.000     0.000     0.000      109   Kernel#is_a? 
  0.13      0.001     0.000     0.000     0.001        7   <Class::ActiveRecord::Base>#after_create 
  0.13      0.000     0.000     0.000     0.000        8   Module#constants 
  0.13      0.001     0.000     0.000     0.000       62   ActiveRecord::AttributeMethods::ClassMethods#dangerous_attribute_method? 
  0.13      0.002     0.000     0.000     0.002       20   ActiveSupport::Inflector#apply_inflections 
  0.12      0.000     0.000     0.000     0.000      220   NilClass#nil? 
  0.12      0.000     0.000     0.000     0.000       12   ActiveSupport::Concern#append_features 
  0.12      0.001     0.000     0.000     0.000       25   ActiveSupport::Callbacks::ClassMethods#normalize_callback_params 
  0.12      0.000     0.000     0.000     0.000      109   ActiveModel::AttributeMethods::ClassMethods#generated_attribute_methods 
  0.11      0.001     0.000     0.000     0.001       62   ActiveRecord::AttributeMethods::PrimaryKey::ClassMethods#dangerous_attribute_method? 
  0.11      0.000     0.000     0.000     0.000       78   Regexp#=== 
  0.11      0.000     0.000     0.000     0.000      163   Symbol#== 
  0.11      0.000     0.000     0.000     0.000       90   Module#name 
  0.11      0.000     0.000     0.000     0.000      209   String#== 
  0.11      0.000     0.000     0.000     0.000       24   String#[] 
  0.11      0.001     0.000     0.000     0.001       54   <Class::ActiveRecord::DynamicMatchers::Method>#match 
  0.11      0.000     0.000     0.000     0.000       73   Thread#[] 
  0.11      0.000     0.000     0.000     0.000       52   String#split 
  0.11      0.000     0.000     0.000     0.000      143   Module#method_added 
  0.11      0.000     0.000     0.000     0.000       76   Kernel#Array 
  0.11      0.010     0.000     0.000     0.010        8   ActiveSupport::Notifications::Instrumenter#instrument 
  0.10      0.001     0.000     0.000     0.001       25   ActiveSupport::Callbacks::ClassMethods#set_callbacks 
  0.10      0.000     0.000     0.000     0.000      108   <Class::ActiveRecord::DynamicMatchers::Method>#pattern 
  0.10      0.000     0.000     0.000     0.000      111   BasicObject#singleton_method_added 
  0.10      0.000     0.000     0.000     0.000       54   ActiveModel::AttributeMethods::ClassMethods#instance_method_already_implemented? 
  0.10      0.000     0.000     0.000     0.000       31   ActiveRecord::Reflection::ClassMethods#_reflect_on_association 
  0.09      0.000     0.000     0.000     0.000       16   Module#extend_object 
  0.09      0.001     0.000     0.000     0.001        8   ActiveRecord::LogSubscriber#sql 
  0.09      0.001     0.000     0.000     0.001       57   Enumerable#find 
  0.09      0.000     0.000     0.000     0.000       15   ActiveRecord::ConnectionAdapters::SQLite3Adapter#quote_column_name 
  0.09      0.000     0.000     0.000     0.000       25   ActiveSupport::Callbacks::CallbackChain#initialize_copy 
  0.09      0.002     0.000     0.000     0.002       25   ActiveSupport::Callbacks::ClassMethods#__update_callbacks 
  0.09      0.000     0.000     0.000     0.000        8   ActiveSupport::Notifications::Event#initialize 
  0.09      0.000     0.000     0.000     0.000       62   NilClass#to_a 
  0.09      0.000     0.000     0.000     0.000       48   Array#join 
  0.08      0.000     0.000     0.000     0.000       25   ActiveSupport::Callbacks::Callback#duplicates? 
  0.08      0.000     0.000     0.000     0.000       54   ActiveModel::AttributeMethods::ClassMethods::AttributeMethodMatcher#method_name 
  0.08      0.000     0.000     0.000     0.000       25   ActiveSupport::Callbacks::Callback#compute_identifier 
  0.08      0.001     0.000     0.000     0.001        7   <Class::ActiveRecord::Base>#after_update 
  0.08      0.017     0.000     0.000     0.017        4   ActiveSupport::Dependencies#require_or_load 
  0.08      0.001     0.000     0.000     0.001       12   Class#class_attribute 
  0.08      0.001     0.000     0.000     0.001        8   ActiveSupport::Subscriber#finish 
  0.08      0.009     0.000     0.000     0.009        8   <Class::ActiveRecord::Associations::Builder::Association>#build 
  0.08      0.000     0.000     0.000     0.000       19   Module#qualified_const_defined? 
  0.08      0.000     0.000     0.000     0.000       59   Kernel#singleton_class 
  0.08      0.000     0.000     0.000     0.000        1   Float#to_default_s 
  0.08      0.004     0.000     0.000     0.004        2   Array#reverse_each 
  0.07      0.000     0.000     0.000     0.000        8   <Class::ActiveRecord::Associations::Builder::Association>#define_readers 
  0.07      0.000     0.000     0.000     0.000       12   Module#attr_writer 
  0.07      0.001     0.000     0.000     0.001        8   ActiveRecord::Reflection::AssociationReflection#initialize 
  0.07      0.000     0.000     0.000     0.000       79   <Class::Thread>#current 
  0.07      0.000     0.000     0.000     0.000       16   Array#initialize 
  0.07      0.000     0.000     0.000     0.000       90   Array#last 
  0.07      0.000     0.000     0.000     0.000       15   ActiveSupport::Dependencies#to_constant_name 
  0.07      0.000     0.000     0.000     0.000       44   Array#map! 
  0.07      0.000     0.000     0.000     0.000       35   ActiveSupport::Dependencies#log_activity? 
  0.07      0.001     0.000     0.000     0.001        4   ActiveRecord::ModelSchema::ClassMethods#compute_table_name 
  0.07      0.000     0.000     0.000     0.000       12   Class#initialize 
  0.07      0.002     0.000     0.000     0.002        8   <Class::ActiveRecord::Associations::Builder::Association>#define_accessors 
  0.07      0.001     0.000     0.000     0.001        8   ActiveRecord::Reflection::MacroReflection#initialize 
  0.07      0.000     0.000     0.000     0.000       74   Module#private_method_defined? 
  0.06      0.000     0.000     0.000     0.000        8   <Class::ActiveRecord::Base>#_save_callbacks= 
  0.06      0.000     0.000     0.000     0.000       25   <Module::ActiveSupport::DescendantsTracker>#descendants 
  0.06      0.016     0.000     0.000     0.016        4   ActiveSupport::Dependencies#new_constants_in 
  0.06      0.014     0.000     0.000     0.014       66  *Module#const_get 
  0.06      0.000     0.000     0.000     0.000       58   Symbol#to_proc 
  0.06      0.000     0.000     0.000     0.000       19   ActiveSupport::Dependencies#qualified_const_defined? 
  0.06      0.000     0.000     0.000     0.000       56   Proc#call 
  0.06      0.000     0.000     0.000     0.000       18   ActiveRecord::Core::ClassMethods#generated_association_methods 
  0.06      0.000     0.000     0.000     0.000        6   ActiveRecord::ConnectionAdapters::Column#initialize 
  0.06      0.015     0.000     0.000     0.015       24  *ActiveRecord::Reflection::AssociationReflection#klass 
  0.06      0.000     0.000     0.000     0.000       12   Array#flatten! 
  0.06      0.000     0.000     0.000     0.000       25   ActiveSupport::Callbacks::Callback#matches? 
