Measure Mode: wall_time
Thread ID: 70212763973840
Fiber ID: 70212781748700
Total: 0.473946
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.18      0.008     0.001     0.000     0.008      404   ActiveRecord::Associations::SingularAssociation#reader 
  0.18      0.001     0.001     0.000     0.000     1018   ActiveSupport::Callbacks::CallbackChain#empty? 
  0.18      0.002     0.001     0.000     0.002      204   ActiveRecord::Associations::AssociationScope#bind_value 
  0.18      0.001     0.001     0.000     0.000      306   ActiveRecord::Associations::AliasTracker#aliased_name_for 
  0.17      0.004     0.001     0.000     0.004      306   ActiveRecord::Associations::AliasTracker#aliased_table_for 
  0.17      0.001     0.001     0.000     0.001      611   ActiveRecord::Associations::Preloader::BelongsTo#owner_key_name 
  0.17      0.001     0.001     0.000     0.000      509   Class#allocate 
  0.16      0.023     0.001     0.000     0.022      307   ActiveRecord::Scoping::Named::ClassMethods#all 
  0.16      0.001     0.001     0.000     0.000      513   SQLite3::Database#encoding 
  0.16      0.001     0.001     0.000     0.000     1018   Kernel#instance_variable_defined? 
  0.16      0.002     0.001     0.000     0.002      306   ActiveRecord::Associations::AssociationScope#table_name_for 
  0.16      0.001     0.001     0.000     0.000      723   ActiveRecord::QueryMethods#from_value 
  0.16      0.001     0.001     0.000     0.000      723   ActiveRecord::QueryMethods#lock_value 
  0.16      0.002     0.001     0.000     0.001      306   ActiveRecord::QueryMethods#joins! 
  0.16      0.001     0.001     0.000     0.000     1060   Hash#key? 
  0.16      0.001     0.001     0.000     0.000      515   Object#present? 
  0.16      0.001     0.001     0.000     0.000      414   Arel::Nodes::Binary#eql? 
  0.15      0.007     0.001     0.000     0.006      518   Kernel#initialize_clone 
  0.15      0.001     0.001     0.000     0.000     1265   Kernel#block_given? 
  0.15      0.005     0.001     0.000     0.004      102   ActiveRecord::Reflection::ThroughReflection#check_validity! 
  0.14      0.066     0.001     0.000     0.065      204   ActiveRecord::Associations::Association#association_scope 
  0.14      0.004     0.001     0.000     0.003      717   BasicObject#!= 
  0.14      0.197     0.001     0.000     0.196      204   ActiveRecord::Associations::CollectionAssociation#reader 
  0.14      0.001     0.001     0.000     0.000      717   ActiveRecord::Relation::Merger#filter_binds 
  0.14      0.003     0.001     0.000     0.002      404   ActiveRecord::Associations::BelongsToAssociation#invertible_for? 
  0.14      0.001     0.001     0.000     0.000      404   ActiveModel::AttributeMethods#respond_to? 
  0.14      0.001     0.001     0.000     0.000        8   IO#write 
  0.14      0.001     0.001     0.000     0.000     1143   Array#first 
  0.13      0.002     0.001     0.000     0.002      318   Kernel#Array 
  0.13      0.001     0.001     0.000     0.000      717   ActiveRecord::Relation::Merger#normal_values 
  0.13      0.001     0.001     0.000     0.001      307   ActiveRecord::Scoping::ScopeRegistry#value_for 
  0.13      0.001     0.001     0.000     0.000      417   <Class::#<Class:0x007fb75c545d10>>#new 
  0.12      0.001     0.001     0.000     0.000      948   <Module::Process>#pid 
  0.12      0.001     0.001     0.000     0.000     1115   Integer#to_i 
  0.12      0.003     0.001     0.000     0.003      307   <Class::ActiveRecord::Scoping::ScopeRegistry>#value_for 
  0.12      0.165     0.001     0.000     0.164      204   ActiveRecord::Associations::CollectionAssociation#scope 
  0.12      0.001     0.001     0.000     0.001      204   ActiveRecord::Associations::CollectionAssociation#reset 
  0.12      0.001     0.001     0.000     0.000      907   Class#superclass 
  0.12      0.003     0.001     0.000     0.002      306   ActiveRecord::Associations::ThroughAssociation#stale_state 
  0.12      0.001     0.001     0.000     0.000      207   ActiveRecord::QueryMethods#build_where 
  0.12      0.001     0.001     0.000     0.001      417   Arel::Table#[] 
  0.12      0.195     0.001     0.000     0.194     1344  *ActiveRecord::Delegation::ClassMethods#create 
  0.12      0.001     0.001     0.000     0.000      310   Kernel#method 
  0.12      0.001     0.001     0.000     0.001      204   ActiveRecord::AssociationRelation#initialize 
  0.11      0.001     0.001     0.000     0.000        3   Kernel#caller 
  0.11      0.001     0.001     0.000     0.000      618   String#initialize 
  0.11      0.001     0.001     0.000     0.001      414   ActiveRecord::Associations::Preloader::BelongsTo#association_key_name 
  0.11      0.002     0.001     0.000     0.002      204   ActiveRecord::Associations::CollectionAssociation#load_target 
  0.11      0.001     0.001     0.000     0.000      509   ActiveRecord::Reflection::AssociationReflection#active_record_primary_key 
  0.11      0.001     0.001     0.000     0.000      946   BasicObject#initialize 
  0.11      0.164     0.001     0.000     0.163      204   ActiveRecord::Associations::Association#scope 
  0.11      0.005     0.000     0.000     0.004      214   ActiveRecord::Scoping::Default::ClassMethods#unscoped 
  0.10      0.003     0.000     0.000     0.002      304   #<Module:0x007fb75fac5c88>#__temp__e616d656 
  0.10      0.000     0.000     0.000     0.000      510   ActiveRecord::QueryMethods#extending_values 
  0.10      0.002     0.000     0.000     0.001      306   ActiveRecord::Associations::ThroughAssociation#through_reflection 
  0.10      0.001     0.000     0.000     0.000      510   ActiveRecord::ModelSchema::ClassMethods#decorate_columns 
  0.10      0.000     0.000     0.000     0.000      509   <Class::ActiveRecord::Base>#_initialize_callbacks 
  0.10      0.000     0.000     0.000     0.000      509   <Class::ActiveRecord::Base>#_find_callbacks 
  0.10      0.001     0.000     0.000     0.000      406   ActiveRecord::Associations::Preloader::HasMany#association_key_name 
  0.10      0.000     0.000     0.000     0.000      509   ActiveRecord::ModelSchema::ClassMethods#initialize_attributes 
  0.10      0.000     0.000     0.000     0.000      918   BasicObject#== 
  0.10      0.000     0.000     0.000     0.000      319   ActiveRecord::ModelSchema::ClassMethods#table_name 
  0.10      0.001     0.000     0.000     0.000      448   Proc#call 
  0.10      0.001     0.000     0.000     0.000      305   ActiveRecord::Associations::Preloader::HasMany#owner_key_name 
  0.10      0.000     0.000     0.000     0.000      306   ActiveRecord::QueryMethods#joins_values= 
  0.10      0.004     0.000     0.000     0.003      204   ActiveRecord::Associations::AssociationScope#bind 
  0.10      0.002     0.000     0.000     0.002       35   ActiveModel::AttributeMethods::ClassMethods#define_proxy_call 
  0.10      0.000     0.000     0.000     0.000      630   Array#initialize_copy 
  0.10      0.003     0.000     0.000     0.003      102   ActiveRecord::QueryMethods#joins 
  0.10      0.001     0.000     0.000     0.000      307   ActiveRecord::Scoping::ScopeRegistry#raise_invalid_scope_type! 
  0.09      0.000     0.000     0.000     0.000      731   Array#blank? 
  0.09      0.001     0.000     0.000     0.000      204   ActiveRecord::Associations::AssociationScope#column_for 
  0.09      0.000     0.000     0.000     0.000      310   Module#to_s 
  0.09      0.000     0.000     0.000     0.000      509   ActiveRecord::Persistence::ClassMethods#discriminate_class_for_record 
  0.09      0.002     0.000     0.000     0.001      306   Arel::Predications#eq 
  0.09      0.001     0.000     0.000     0.000      211   Object#blank? 
  0.09      0.001     0.000     0.000     0.000        3   Array#reject 
  0.09      0.001     0.000     0.000     0.001       53   Array#join 
  0.08      0.000     0.000     0.000     0.000      160   String#=~ 
  0.08      0.005     0.000     0.000     0.004        4   Array#flatten 
  0.08      0.001     0.000     0.000     0.001      202   ActiveRecord::Associations::Association#foreign_key_for? 
  0.08      0.045     0.000     0.000     0.044      102   ActiveRecord::Associations::ThroughAssociation#target_scope 
  0.08      0.000     0.000     0.000     0.000      405   ActiveRecord::ModelSchema::ClassMethods#column_names 
  0.08      0.006     0.000     0.000     0.005      202   SocialAccount::GeneratedAssociationMethods#social_account_type 
  0.08      0.000     0.000     0.000     0.000      620   Hash#initialize_copy 
  0.08      0.000     0.000     0.000     0.000      513   SQLite3::Statement#done? 
  0.08      0.000     0.000     0.000     0.000      314   ActiveRecord::QueryMethods#joins_values 
  0.08      0.000     0.000     0.000     0.000      204   ActiveRecord::QueryMethods#extending_values= 
  0.07      0.000     0.000     0.000     0.000        4   SQLite3::Statement#initialize 
  0.07      0.001     0.000     0.000     0.000      202   ActiveRecord::AttributeMethods#has_attribute? 
  0.07      0.003     0.000     0.000     0.003      202   ActiveRecord::Associations::Association#invertible_for? 
  0.07      0.001     0.000     0.000     0.000        7   ActiveSupport::Inflector#underscore 
  0.07      0.004     0.000     0.000     0.003      204   ActiveRecord::Associations::CollectionProxy#to_ary 
  0.07      0.001     0.000     0.000     0.001      204   <Class::ActiveRecord::Associations::AliasTracker>#empty 
  0.07      0.002     0.000     0.000     0.002      102   Enumerable#sort_by 
  0.07      0.000     0.000     0.000     0.000      310   <Class::ActiveRecord::Base>#default_scopes 
