Measure Mode: wall_time
Thread ID: 70212782282580
Fiber ID: 70212755826020
Total: 0.678676
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.20      0.001     0.001     0.000     0.000     1317   Fixnum#to_default_s 
  0.19      0.003     0.001     0.000     0.002      606   ActiveRecord::Associations::BelongsToAssociation#reset 
  0.19      0.001     0.001     0.000     0.000      508   Module#method_defined? 
  0.19      0.001     0.001     0.000     0.000      709   String#sub! 
  0.19      0.001     0.001     0.000     0.000      964   <Module::Process>#pid 
  0.19      0.021     0.001     0.000     0.020      910   ActiveRecord::Reflection::AssociationReflection#check_validity! 
  0.19      0.013     0.001     0.000     0.012      404   ActiveRecord::Associations::SingularAssociation#reader 
  0.18      0.005     0.001     0.000     0.004      306   ActiveRecord::Associations::ThroughAssociation#stale_state 
  0.18      0.003     0.001     0.000     0.002      509   ActiveRecord::Base#_find_callbacks 
  0.18      0.064     0.001     0.000     0.063      204   ActiveRecord::Associations::Association#target_scope 
  0.18      0.001     0.001     0.000     0.000      723   ActiveRecord::QueryMethods#from_value 
  0.18      0.096     0.001     0.000     0.095      204   ActiveRecord::Associations::AssociationScope#add_constraints 
  0.17      0.001     0.001     0.000     0.000     1573   Hash#include? 
  0.17      0.007     0.001     0.000     0.006      306   ActiveRecord::Associations::AliasTracker#aliased_table_for 
  0.17      0.002     0.001     0.000     0.001      307   ActiveRecord::Scoping::ScopeRegistry#value_for 
  0.17      0.003     0.001     0.000     0.002      204   ActiveRecord::Associations::AssociationScope#bind_value 
  0.17      0.003     0.001     0.000     0.001      509   ActiveRecord::Base#_initialize_callbacks 
  0.17      0.012     0.001     0.000     0.011     1329   ActiveRecord::ModelSchema::ClassMethods#column_types 
  0.17      0.001     0.001     0.000     0.000     1012   ActiveRecord::Associations::Association#reset_scope 
  0.17      0.001     0.001     0.000     0.000     2442   String#== 
  0.16      0.004     0.001     0.000     0.003      306   ActiveRecord::Associations::AssociationScope#table_name_for 
  0.16      0.001     0.001     0.000     0.000       16   SQLite3::Statement#initialize 
  0.16      0.002     0.001     0.000     0.001      417   <Class::#<Class:0x007fb75c545d10>>#new 
  0.16      0.005     0.001     0.000     0.004      509   ActiveRecord::Inheritance::ClassMethods#discriminate_class_for_record 
  0.16      0.011     0.001     0.000     0.010      410   ActiveRecord::Associations::Preloader::Association#association_key_type 
  0.16      0.001     0.001     0.000     0.000        6   Kernel#caller 
  0.16      0.002     0.001     0.000     0.001     1018  *ActiveRecord::ModelSchema::ClassMethods#inheritance_column 
  0.15      0.325     0.001     0.000     0.324      204   ActiveRecord::Associations::CollectionAssociation#reader 
  0.15      0.002     0.001     0.000     0.001       24   ActiveSupport::Inflector#underscore 
  0.15      0.124     0.001     0.000     0.123      204   ActiveRecord::Associations::Association#association_scope 
  0.15      0.001     0.001     0.000     0.000        6   Array#reject 
  0.15      0.002     0.001     0.000     0.001      410   ActiveRecord::Associations::Preloader::Association#owner_key_type 
  0.14      0.004     0.001     0.000     0.004      404   ActiveRecord::Associations::BelongsToAssociation#invertible_for? 
  0.14      0.005     0.001     0.000     0.004      304   #<Module:0x007fb75fac5c88>#__temp__e616d656 
  0.14      0.001     0.001     0.000     0.000     1186   Array#first 
  0.14      0.001     0.001     0.000     0.000     1230   Class#superclass 
  0.14      0.012     0.001     0.000     0.011      518   ActiveRecord::SpawnMethods#spawn 
  0.14      0.010     0.001     0.000     0.009      518   Kernel#initialize_clone 
  0.14      0.004     0.001     0.000     0.003      509   ActiveRecord::Inheritance::ClassMethods#using_single_table_inheritance? 
  0.14      0.001     0.001     0.000     0.000      414   Arel::Nodes::Binary#eql? 
  0.13      0.001     0.001     0.000     0.000      207   ActiveRecord::QueryMethods#build_where 
  0.13      0.005     0.001     0.000     0.004      307   <Class::ActiveRecord::Scoping::ScopeRegistry>#value_for 
  0.13      0.001     0.001     0.000     0.000      717   ActiveRecord::Relation::Merger#filter_binds 
  0.13      0.001     0.001     0.000     0.000      946   BasicObject#initialize 
  0.13      0.001     0.001     0.000     0.000      313   Module#to_s 
  0.12      0.001     0.001     0.000     0.000     1087   Hash#key? 
  0.12      0.015     0.001     0.000     0.014      410   ActiveRecord::Associations::Preloader::Association#key_conversion_required? 
  0.12      0.001     0.001     0.000     0.000      310   Kernel#method 
  0.12      0.003     0.001     0.000     0.002      306   ActiveRecord::Associations::ThroughAssociation#through_reflection 
  0.12      0.278     0.001     0.000     0.277      204   ActiveRecord::Associations::CollectionAssociation#scope 
  0.12      0.023     0.001     0.000     0.022      913   ActiveRecord::AttributeMethods::ClassMethods#define_attribute_methods 
  0.12      0.001     0.001     0.000     0.000      717   ActiveRecord::Relation::Merger#normal_values 
  0.12      0.004     0.001     0.000     0.003      717   BasicObject#!= 
  0.12      0.001     0.001     0.000     0.000      618   String#initialize 
  0.12      0.001     0.001     0.000     0.000      571   SQLite3::Database#encoding 
  0.12      0.001     0.001     0.000     0.000     1349   Kernel#block_given? 
  0.12      0.276     0.001     0.000     0.276      204   ActiveRecord::Associations::Association#scope 
  0.12      0.001     0.001     0.000     0.000      306   ActiveRecord::QueryMethods#joins_values= 
  0.12      0.002     0.001     0.000     0.002      417   Arel::Table#[] 
  0.11      0.012     0.001     0.000     0.011      102   ActiveRecord::Reflection::ThroughReflection#check_validity! 
  0.11      0.001     0.001     0.000     0.000     1018   ActiveSupport::Callbacks::CallbackChain#empty? 
  0.11      0.321     0.001     0.000     0.320     1348  *ActiveRecord::Delegation::ClassMethods#create 
  0.11      0.004     0.001     0.000     0.004      204   ActiveRecord::Associations::CollectionAssociation#load_target 
  0.11      0.001     0.001     0.000     0.000      124   Module#define_method 
  0.11      0.003     0.001     0.000     0.003      338  *ActiveRecord::ModelSchema::ClassMethods#table_name 
  0.11      0.085     0.001     0.000     0.085      102   ActiveRecord::Associations::ThroughAssociation#target_scope 
  0.11      0.002     0.001     0.000     0.001      204   ActiveRecord::AssociationRelation#initialize 
  0.11      0.001     0.001     0.000     0.001      611   ActiveRecord::Associations::Preloader::BelongsTo#owner_key_name 
  0.11      0.007     0.001     0.000     0.007      214   ActiveRecord::Scoping::Default::ClassMethods#unscoped 
  0.10      0.001     0.001     0.000     0.000      404   ActiveModel::AttributeMethods#respond_to? 
